S.No.,Code,Name,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
1,E001,University Visveswariah College of Engineering Bangalore,CE-Civil,32617,0,33980,33564,38789,37186,42600,0,47534,21850,0,28547,26863,0,31826,20856,24818,26485,40245,47956,53038,37947,0,0
2,E001,University Visveswariah College of Engineering Bangalore,CS-Computer Science,7032,0,13014,7113,7383,9068,7484,0,0,4922,0,6454,3719,0,0,3392,3481,5739,15666,37041,29121,9692,0,0
3,E001,University Visveswariah College of Engineering Bangalore,EC-Electronics and Communications,11404,0,0,9254,0,12319,9546,10462,0,7167,0,0,7401,0,0,5679,8595,9854,16090,0,24851,8554,0,15216
4,E001,University Visveswariah College of Engineering Bangalore,EE-Electrical and Electronics,17810,0,0,21729,25456,33634,13579,0,0,11311,0,0,13926,0,20377,11015,19791,15491,28846,32980,37275,22626,0,0
5,E001,University Visveswariah College of Engineering Bangalore,IS-Information Science,13038,0,0,8203,0,14670,14525,0,0,5604,9832,0,6041,0,0,5544,6873,9261,26960,0,37577,10122,0,30432
6,E001,University Visveswariah College of Engineering Bangalore,ME-Mechanical,24164,70196,38960,25253,0,41270,28802,0,91220,20433,0,0,24035,25190,38983,17018,21862,22031,36185,0,47592,23647,0,0
7,E002,S K S J T Institute of Engineering. Bangalore,CE-Civil,44299,0,44785,46365,0,47028,66538,0,0,43822,0,0,43605,0,45077,38625,41750,44317,58456,62879,63241,57850,0,0
8,E002,S K S J T Institute of Engineering. Bangalore,CS-Computer Science,23453,0,0,24717,43478,30288,21411,0,60520,19789,0,21462,17839,0,0,17731,19021,20228,39646,0,44960,18766,0,0
9,E002,S K S J T Institute of Engineering. Bangalore,EC-Electronics and Communications,40088,0,0,35287,41900,39173,38443,0,0,23746,0,0,25405,0,0,22924,26345,26577,53944,88050,59903,30494,0,93371
10,E002,S K S J T Institute of Engineering. Bangalore,ST-Silk Technology,86016,0,0,85044,0,99669,0,0,0,0,0,0,80503,0,0,67594,71458,75481,91641,0,0,77793,0,0
11,E002,S K S J T Institute of Engineering. Bangalore,TX-Textile,89835,0,0,110056,0,136368,90280,,0,72576,0,0,94539,136880,0,71367,0,92766,119521,0,125306,0,0,0
12,E003,"B M S College of Engineering Basavanagudi,Bangalore",CE-Civil,33282,0,48014,21115,0,35119,27066,0,0,12778,0,0,15961,0,20488,12756,15069,20418,25741,45643,59758,17941,0,0
13,E003,"B M S College of Engineering Basavanagudi,Bangalore",EC-Electronics and Communications,5961,0,0,3066,7360,7120,2516,0,20838,2280,0,0,3060,0,5471,1788,3129,2301,15638,0,18995,8488,0,0
14,E003,"B M S College of Engineering Basavanagudi,Bangalore",EE-Electrical and Electronics,9356,0,0,10867,0,14242,11692,0,0,7285,0,11400,7824,17975,0,5138,10504,10655,34739,0,38860,23434,0,0
15,E003,"B M S College of Engineering Basavanagudi,Bangalore",IM-Industrial Management,50704,0,0,42552,0,47198,95319,0,0,34349,0,0,43626,0,0,25599,33551,36176,104851,0,112370,88763,0,0
16,E003,"B M S College of Engineering Basavanagudi,Bangalore",ME-Mechanical,19956,0,0,18158,0,20997,45103,0,0,11046,22385,23062,7156,0,15627,5535,18660,9774,30365,0,58454,28603,0,0
17,E004,Dr. Ambedkar Institute Of Technology Bangalore,CE-Civil,52857,0,59432,53600,55396,55563,61920,0,0,36868,0,0,46966,0,51394,35355,44069,45500,60228,63863,69318,47365,0,0
18,E004,Dr. Ambedkar Institute Of Technology Bangalore,CS-Computer Science,11596,0,14720,14093,23924,16257,13548,0,0,10927,0,0,11926,0,14255,9427,11836,12032,35306,36662,54624,16580,0,0
